-----------------------------------------------------------------------------------------
汉字      全拼      五笔      郑码      UNICODE   GBK       笔画数    部首      笔顺编号
-----------------------------------------------------------------------------------------
0         1         2         3         4         5         6         7         8
012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789
-----------------------------------------------------------------------------------------
一        yi        ggll      A         4E00      D2BB      1         一        1
丁        ding      sgh       AI        4E01      B6A1      2         一        12
丂        yu        gnv       AZVV      4E02      8140      2         一        15
七        qi        agn       HD        4E03      C6DF      2         一        15
丄        shang     hgd       IAVV      4E04      8141      2         一        21
丅        xia       ghk       AIVV      4E05      8142      2         一        12
丆        myeon     myen      GAA       4E06      8143      2         一        13
万        wan       dnv       AYM       4E07      CDF2      3         一        153
丈        zhang     dyi       AOS       4E08      D5C9      3         一        134
三        san       dggg      CD        4E09      C8FD      3         一        111
上        shang     hhgg      I/IDA     4E0A      C9CF      3         一        211
下        xia       ghi       AID       4E0B      CFC2      3         一        124
丌        ji        gjk       AND       4E0C      D8A2      3         一        132
不        bu        gii       GI        4E0D      B2BB      4         一        1324
与        yu        gngd      AZA       4E0E      D3EB      3         一        151
丏        mian      ghnn      AIZY      4E0F      8144      4         一        1255
丐        gai       ghnv      AIZ       4E10      D8A4      4         一        1215
丑        chou      nfd       XED       4E11      B3F3      4         一        5211
丒        chou      vygf      YDSA      4E12      8145      4         一        5341
专        zhuan     fnyi      BDZS      4E13      D7A8      4         一        1154
且        qie       egd       LC        4E14      C7D2      5         一        25111
丕        pi        gigf      GIA       4E15      D8A7      5         一        13241
世        shi       anv       E/EAZ     4E16      CAC0      5         一        12215
丗        shi       mgd       EA        4E17      8146      5         一        12221
丘        qiu       rgd       PDA       4E18      C7F0      5         丿一      32121
丙        bing      gmwi      ALOD      4E19      B1FB      5         一        12534
业        ye        ogd       KU        4E1A      D2B5      5         业一      22431
丛        cong      wwgf      ODOA      4E1B      B4D4      5         一人      34341
东        dong      aii       HDKO      4E1C      B6AB      5         一        15234
丝        si        xxgf      ZZZA      4E1D      CBBF      5         一纟      55551
丞        cheng     bigf      XKA       4E1E      D8A9      6         一乙      525341
丟        diu       tfcu      CZS       4E1F      8147      6         一        112154
丠        qiu       uxgf      TIRA      4E20      8148      6         一        211351
両        liang     gmmk      ALLL      4E21      8149      6         一        125252
丢        diu       tfcu      MBZS      4E22      B6AA      6         一丿      312154
丣        you       gjag      ANHX      4E23      814A      7         一        1315251
两        liang     gmww      ALOO      4E24      C1BD      7         一        1253434
严        yan       godr      AKM       4E25      D1CF      7         一        1224313
並        bing      uogd      UAKU      4E26      814B      8         一八      43122431
丧        sang      fueu      EDUH      4E27      C9A5      8         一        12431534
丨        shu       hhll      IAAA      4E28      D8AD      1         丨        2
丩        jiu       nhk       ZI        4E29      814C      2         丨        52
个        ge        whj       O/ODI     4E2A      B8F6      3         丨人      342
丫        ya        uhk       UDI       4E2B      D1BE      3         丨八      432
丬        zhuang    uygh      TI        4E2C      E3DC      3         丨        412
中        zhong     khk       J/JIVV    4E2D      D6D0      4         丨        2512
丮        ji        nfhk      YDAB      4E2E      814D      4         丨        5112
丯        jie       ehk       PDI       4E2F      814E      4         丨        3332
丰        feng      dhk       CI        4E30      B7E1      4         丨        1112
丱        kuang     njgh      ZIAA      4E31      814F      5         丨        53212
串        chuan     kkhk      JJI       4E32      B4AE      7         丨        2512512
丳        chan      kkjk      JJND      4E33      8150      8         丨        25125132
临        lin       jtyj      KDMK      4E34      C1D9      9         丨        223142521
丵        zhuo      oguf      KUUB      4E35      8151      10        丨业      2243143112
丶        dian      yyll      SAAA      4E36      D8BC      1         丶        4
丷        ha        uyt       UDAA      4E37      8152      2         丶        43
丸        wan       vyi       QYA       4E38      CDE8      3         丿丶      354
丹        dan       myd       QSVV      4E39      B5A4      4         丶丿      3541
为        wei       ylyi      U/UDYS    4E3A      CEAA      4         丶        4354
主        zhu       ygd       SCVV      4E3B      D6F7      5         丶        41121
丼        jing      fjyi      BDNS      4E3C      8153      5         丶        11324
丽        li        gmyy      ALLD      4E3D      C0F6      7         丶一      1254254
举        ju        iwfh      VDOB      4E3E      BED9      9         丶        443134112
丿        pie       ttll      MAAA      4E3F      D8AF      1         丿        3
乀        fu        nnll      YDAA      4E40      8154      1         丿        5
乁        yi        gyi       YDAA      4E41      8155      1         丿        5
乂        yi        qty       OS        4E42      8156      2         丿        34
乃        nai       etn       YMVV      4E43      C4CB      2         丿        53
乄        wu        nyi       ZSVV      4E44      8157      2         丿        54
久        jiu       qyi       RSVV      4E45      BEC3      3         丿        354
乆        jiu       nwi       ZOD       4E46      8158      3         丿        534
乇        tuo       tav       MHD       4E47      D8B1      3         丿        315
么        me        tcu       MZS       4E48      C3B4      3         丿        354
义        yi        yqi       SOS       4E49      D2E5      3         丶丿      434
乊        ho        tue       MUD       4E4A      8159      3         丿        343
之        zhi       pppp      WA        4E4B      D6AE      3         丿丶      454
乌        wu        qngd      RZA       4E4C      CEDA      4         丿        3551
乍        zha       thfd      MAID      4E4D      D5A7      5         丿        31211
乎        hu        tuhk      MUA       4E4E      BAF5      5         丿        34312
乏        fa        tpi       MWVV      4E4F      B7A6      4         丿        3454
乐        le        qii       RHKO      4E50      C0D6      5         丿        35234
乑        zhong     tii       GQAA      4E51      815A      6         丿        323334
乒        ping      rgtr      PDAM      4E52      C6B9      6         丿        321213
乓        pang      rgyu      PDAS      4E53      C5D2      6         丿        321214
乔        qiao      tdjj      MGND      4E54      C7C7      6         丿        313432
乕        hu        rfmh      PDBL      4E55      815B      7         丿        3311252
乖        guai      tfux      METR      4E56      B9D4      8         丿        31221135
乗        sheng     tgai      MFEA      4E57      815C      9         丿        311221234
乘        cheng     tuxv      MFTR      4E58      B3CB      10        丿        3122113534
乙        yi        nnll      YDA       4E59      D2D2      1         乙        5
乚        yin       nnll      ZAAA      4E5A      815D      1         乙        5
乛        ya        nnll      XAAA      4E5B      815E      1         乙        5
乜        nie       nnv       YZVV      4E5C      D8BF      2         乙        55
九        jiu       vtn       QY        4E5D      BEC5      2         丿乙      35
乞        qi        tnb       MAYD      4E5E      C6F2      3         乙        315
也        ye        bnhn      YI        4E5F      D2B2      3         乙        525
习        xi        nud       YT        4E60      CFB0      3         乙        541
乡        xiang     xte       ZZM       4E61      CFE7      3         乙        553
乢        gai       mnn       LLZ       4E62      815F      4         乙        2525
乣        jiu       xnb       ZZZ       4E63      8160      4         乙        5545
乤        hal       ghnb      AIYD      4E64      8161      4         乙        1245
乥        hol       tunb      MUYD      4E65      8162      4         乙        3435
书        shu       nnhy      XYIS      4E66      CAE9      4         乛        5524
乧        dul       ufnb      TDEY      4E67      8163      5         乙        44125
乨        shi       cknn      ZSJZ      4E68      8164      6         乙        542515
乩        ji        hknn      IDJZ      4E69      D8C0      6         乙        212515
乪        nang      nld       YDAK      4E6A      8165      6         乙        525121
乫        kal       lknb      YMJY      4E6B      8166      6         乙        532515
乬        keol      annb      HXYD      4E6C      8167      5         乙        15155
乭        tol       dnb       GYDA      4E6D      8168      6         乙        132515
乮        mol       qtbn      RHYY      4E6E      8169      6         乙        353525
乯        ol        tuhn      MUYD      4E6F      816A      6         乙        343125
买        mai       nudu      XTGD      4E70      C2F2      6         乙        544134
乱        luan      tdnn      MIZ       4E71      C2D2      7         乙        3122515
乲        cal       uqwn      TDRY      4E72      816B      7         乙        4135345
乳        ru        ebnn      PVYZ      4E73      C8E9      8         乙乚      34435215
乴        xue       rrnb      DPYD      4E74      816C      8         乙        12133125
乵        yan       unn       SEZ       4E75      816D      8         乙        41431125
乶        phoi      gehn      FBYD      4E76      816E      8         乙        12511245
乷        sha       iinb      VKMY      4E77      816F      8         乙        44123435
乸        na        bxgu      YIZY      4E78      8170      8         乙        52555414
乹        qian      fjnn      EDEZ      4E79      8171      9         乙        122511125
乺        sol       rnrn      PDPY      4E7A      8172      9         乙        335133125
乻        eol       ywun      SYTY      4E7B      8173      9         乙        415334445
乼        cui       iygn      VSCY      4E7C      8174      9         乙        441411215
乽        ceor      ftjn      BMYD      4E7D      8175      9         乙        121325115
乾        qian      fjtn      EDMY      4E7E      C7AC      11        乙        12251112315
乿        zhi       exin      PVZZ      4E7F      8176      11        乙        34435542345
亀        gui       qjjn      RKKZ      4E80      8177      11        乙        35251125115
亁        gan       fjfn      EDMY      4E81      8178      12        十乙      122511112315
亂        luan      ecmn      PVLZ      4E82      8179      13        乙        3443542554545
亃        lin       oqan      UFMZ      4E83      817A      13        乙        4312343541525
亄        yi        fpgn      BWUZ      4E84      817B      13        乙        1214512514315
亅        jue       hhl       IAAA      4E85      817C      1         亅        2
了        le        bnh       Y         4E86      C1CB      2         乙亅      52
亇        ma        qhk       RIVV      4E87      817D      3         亅丿      352
予        yu        cbj       XSXI      4E88      D3E8      4         亅乙      5452
争        zheng     qvhj      RXB       4E89      D5F9      6         刀亅      355112
亊        zhi       guvh      DUXB      4E8A      817E      7         亅一      1435112
事        shi       gkvh      DJXB      4E8B      CAC2      8         亅一      12515112
二        er        fgg       BD        4E8C      B6FE      2         二        11
亍        chu       fhk       AAI       4E8D      D8A1      3         二        112
于        yu        gfk       ADVV      4E8E      D3DA      3         二        112
亏        kui       fnv       BDZ       4E8F      BFF7      3         二        115
亐        yu        fnv       BDZ       4E90      8180      3         二        115
云        yun       fcuu      BDZS      4E91      D4C6      4         二        1154
互        hu        gxgd      BDZM      4E92      BBA5      4         二        1551
亓        qi        adw       BDND      4E93      D8C1      4         二        1132
五        wu        gghg      BIX       4E94      CEE5      4         二        1251
井        jing      fjk       BDND      4E95      BEAE      4         二        1132
亖        si        fff       BDBD      4E96      8181      4         二        1111
亗        sui       mff       LLBD      4E97      8182      5         二        25211
亘        gen       gjgf      BDK       4E98      D8A8      6         二        125111
亙        geng      gqug      BDRS      4E99      8183      6         二        125441
亚        ya        gogd      AKU       4E9A      D1C7      6         二        122431
些        xie       hxff      IIRB      4E9B      D0A9      8         二        21213511
亜        ya        gkjg      BDJK      4E9C      8184      7         二        1251221
亝        zhai      cccf      ZSZB      4E9D      8185      8         二厶      54545411
亞        ya        ghgg      BZ        4E9E      8186      8         二        12155121
亟        ji        bkcg      YJXA      4E9F      D8BD      8         二        52251541
亠        wen       yyg       SAA       4EA0      D9EF      2         亠        41
亡        wang      ynv       SH        4EA1      CDF6      3         亠        415
亢        kang      ymb       SQD       4EA2      BFBA      4         亠        4135
亣        da        yji       SND       4EA3      8187      4         亠        4132
交        jiao      uqu       SOOS      4EA4      BDBB      6         亠        413434
亥        hai       yntw      SZOD      4EA5      BAA5      6         亠        415334
亦        yi        you       SNO       4EA6      D2E0      6         亠        413234
产        chan      ute       SUM       4EA7      B2FA      6         亠        414313
亨        heng      ybj       SJY       4EA8      BAE0      7         亠        4125152
亩        mu        ylf       SKI       4EA9      C4B6      7         亠        4125121
亪        ye        yogy      SNOY      4EAA      8188      7         亠        4132345
享        xiang     ybf       SJYA      4EAB      CFED      8         亠        41251521
京        jing      yiu       SJKO      4EAC      BEA9      8         亠        41251234
亭        ting      ypsj      SJWA      4EAD      CDA4      9         亠        412514512
亮        liang     ypmb      SJWQ      4EAE      C1C1      9         亠        412514535
亯        xiang     ybf       SJK       4EAF      8189      9         亠        412512511
亰        jing      yjiu      SKKO      4EB0      818A      9         亠        412511234
亱        ye        ywjg      SNKA      4EB1      818B      9         亠        413225111
亲        qin       usu       SUF       4EB2      C7D7      9         亠        414311234
亳        bo        ypta      SJMH      4EB3      D9F1      10        亠        4125145315
亴        you       ypfv      SJBQ      4EB4      818C      12        亠        412514512135
亵        xie       yrve      SDQR      4EB5      D9F4      12        亠        411213543534
亶        zhan      ylkg      SJKA      4EB6      818D      13        亠        4125251125111
亷        lian      udvo      SUMX      4EB7      818E      13        亠        4143135112234
亸        duo       ybuf      SJKE      4EB8      818F      16        亠        4125152143251112
亹        wei       ywfg      SNLL      4EB9      8190      22        亠        4132112512515114525111
人        ren       wwww      OD        4EBA      C8CB      2         人        34
